Fecha;18/12/2024 14:55:22;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134.85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;21;1.4;3,137;209.1;;0.0 %
274756;PAN PEPITO;MEC;160.28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1,008;67.2;1,288;85.9;;5.2 %
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205.7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4,536;302.4;4,605;307.0;;6.6 %
400121;Miniatura;MEC;196.35136;0;0;(en blanco);4;(en blanco);(en blanco);16.1;242;16.1;1,188;19.8;235;15.7;93;6.2;103.0 %;16.8 %
400231;Pepito;MEC;160.18779;0;0;(en blanco);2;20/12/2024;324;24.1;362;24.1;1,470;24.5;198;13.2;324;21.6;182.8 %;4.1 %
400233;Pepito;MEC;160.28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;640;10.7;224;14.9;;;;0.0 %
401111;Bocata;MEC;224.45714;0;0;(en blanco);7;17/12/2024;452;94.3;1415;94.3;3,228;53.8;983;65.5;556;37.1;143.9 %;11.8 %
401113;Bocata;MEC;224.45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;576;9.6;352;23.5;;;;0.0 %
401301;Baguette Plus;MEC;160.34482;0;0;(en blanco);20;13/12/2024;106;15.9;239;15.9;1,077;18.0;329;21.9;363;24.2;72.6 %;6.0 %
401421;Barra Castellana;MEC;137.06227;0;0;(en blanco);0;(en blanco);(en blanco);5.7;85;5.7;255;4.3;56;3.7;170;11.3;151.8 %;2.2 %
401423;Barra Castellana;MEC;120.91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;224;3.7;288;19.2;;;;0.0 %
401621;Media Baguette;MEC;138.09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0.1;;
401881;Bollo;MEC;205.58375;0;0;(en blanco);10;13/12/2024;0;56.4;846;56.4;1,731;28.9;542;36.1;520;34.7;156.1 %;6.9 %
402011;Viena Mondat 145 gr;MEC;246.74846;0;0;(en blanco);597;13/12/2024;1033;110.9;1663;110.9;6,412;106.9;1,499;99.9;1,825;121.7;110.9 %;5.5 %
402801;Viena;MEC;224.44444;0;0;(en blanco);2;(en blanco);(en blanco);28.0;420;28.0;421;7.0;432;28.8;121;8.1;97.2 %;23.8 %
403321;Barra de Viena;MEC;196.69172;0;0;(en blanco);9;(en blanco);(en blanco);;;;;;;;-2;-0.1;;
403341;Barra de Viena;MEC;242.1118;0;0;(en blanco);61;13/12/2024;668;65.0;975;65.0;4,305;71.8;1,868;124.5;1,826;121.7;52.2 %;6.8 %
